	commit{dir=NRTCachingDirectory(SimpleFSDirectory@D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@D:\YandexDisk\GitHub\django shop\frobshop\solr-4.7.2\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2021-01-22 13:51:00.024; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2021-01-22 13:51:00.028; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2021-01-22 13:51:00.029; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2021-01-22 13:51:00.030; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2021-01-22 13:51:00.037; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2021-01-22 13:51:00.081; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2021-01-22 13:51:00.157; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2021-01-22 13:51:00.191; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.239; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.241; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2021-01-22 13:51:00.242; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.244; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2021-01-22 13:51:00.245; org.apache.solr.core.RequestHandlers; created /update/json: solr.UpdateRequestHandler
INFO  - 2021-01-22 13:51:00.245; org.apache.solr.core.RequestHandlers; created /update/csv: solr.UpdateRequestHandler
